committed_quote	committed_quote_claim	committed_quote_refinement	committed_quote_is_immutable_across_trace	committed_quote_fixes_amount_out;conflicting_payload_is_rejected	quote_cases	canister/bridge-core/src/kernel.rs#committed_quote_matches	canister/bridge-canister/src/storage/mod.rs#deposit_quote_is_recomputed_from_the_exact_cached_snapshot	evm_canonicality;runtime_toolchain	proved	proved	proved	proved	refinement-tested	assumed	phase4	complete
settlement_backing	settlement_backing_claim	settlement_backing_refinement	step_preserves_backing;runs_preserve_backing	outbound_settlement_uses_the_committed_fee_once;settlement_decision_returns_exact_checked_delta;deposit_mint_preserves_one_to_one_backing;ambiguous_outbound_resolution_preserves_a_possible_world;withdrawal_fee_delta_occurs_only_on_release;withdrawal_fee_is_charged_at_most_once	settlement_cases	canister/bridge-core/src/kernel.rs#settlement_decision	canister/bridge-core/tests/state_machine.rs#withdrawal_payment_is_terminal_and_fee_reserve_is_net_of_ledger_fee	external_asset_state;sqlite_atomicity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
payment_identity	payment_claim	payment_refinement	raw_step_preserves_safe;step_preserves_safe;runs_preserve_safe;paid_is_terminal_across_step;conditional_committed_withdrawal_reaches_paid	release_transfer_requires_exact_amount_and_fee;withdrawal_terminal_phase_absorbs_any_sequence;withdrawal_phase_allowance_matches_a_transition;withdrawal_liability_index_matches_nonterminal_phases	payment_cases	canister/bridge-core/src/kernel.rs#release_transfer_matches	canister/bridge-core/tests/state_machine.rs#withdrawal_release_rejects_a_destination_not_bound_to_the_record	icrc_history;sqlite_atomicity;runtime_toolchain	proved	proved	proved	proved	refinement-tested	assumed	phase4	complete
deposit_admission	deposit_admission_claim	deposit_admission_refinement	accepted_window_deposit_is_positive_bounded_and_reserved	mint_admission_counts_consumed_reserved_and_candidate;deposit_admission_decision_checks_every_bound;deposit_phase_allowance_matches_a_state_change;deposit_fee_delta_occurs_only_on_mint;deposit_fee_is_charged_at_most_once;deposit_refund_debits_exactly_gross	deposit_admission_cases	canister/bridge-core/src/kernel.rs#deposit_admission_decision	canister/bridge-canister/src/storage/mod.rs#deposit_admission_constraint_failure_rolls_back_records_indexes_and_counters	evm_canonicality;sqlite_atomicity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
reservation_commit	reservation_claim	reservation_refinement	reservation_requirement_is_preserved_across_trace	reserve_candidate_becomes_reservation_without_reducing_requirement;reservation_decision_preserves_candidate_requirement;reserve_exact_boundary_and_independent_resources;reserve_overflow_is_rejected;reserve_token_rejects_any_drift	reservation_cases	canister/bridge-core/src/kernel.rs#reservation_decision	canister/bridge-canister/src/storage/mod.rs#mint_reservation_is_released_by_final_revert_or_cancel	sqlite_atomicity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
service_fee_maximum	service_fee_claim	service_fee_refinement	service_fee_bound_is_preserved_across_trace	service_fee_change_respects_immutable_maximum;deposit_terminal_phase_absorbs_any_sequence	service_fee_cases	canister/bridge-core/src/kernel.rs#service_fee_change_allowed	canister/bridge-canister/src/storage/mod.rs#fee_guard_bundles_roll_back_business_guard_audit_and_jobs	evm_canonicality;sqlite_atomicity;runtime_toolchain	proved	proved	proved	proved	refinement-tested	assumed	phase4	complete
fee_recipient_rotation	fee_rotation_claim	fee_rotation_refinement	accepted_rotation_checks_authority_input_and_preserves_accounting	fee_recipient_rotation_requires_no_pending_payout;fee_recipient_rotation_decision_is_fail_closed;role_action_matrix;reverted_phases_only_reopen_through_recovery_events	fee_rotation_cases	canister/bridge-core/src/kernel.rs#fee_recipient_rotation_decision	canister/bridge-canister/src/storage/mod.rs#fee_recipient_rotation_preserves_accounting_audit_and_reopen	sqlite_atomicity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
fee_payout	fee_payout_claim	fee_payout_refinement	payout_preserves_backing_and_reserve_bound	payout_includes_fee_and_cannot_exceed_reserve;payout_decision_returns_the_only_allowed_debit;pending_payout_is_bounded_by_confirmed_fees;fee_is_counted_exactly_on_first_transfer	fee_payout_cases	canister/bridge-core/src/kernel.rs#payout_decision	canister/bridge-canister/src/storage/mod.rs#fee_payout_success_debits_once_and_removes_reconciliation_reservation	icrc_history;sqlite_atomicity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
hold_resolution	hold_claim	hold_refinement	accepted_absence_is_complete	hold_requires_success_or_complete_absence;hold_resolution_decision_classifies_evidence;incomplete_scan_cannot_prove_absence;hold_resolution_requires_every_binding;reconciliation_hold_index_matches_open_phase	hold_cases	canister/bridge-core/src/kernel.rs#hold_resolution_decision	canister/bridge-canister/src/storage/mod.rs#withdrawal_hold_absent_resolution_rolls_back_every_write_failpoint	icrc_history;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
lease_outcome	lease_claim	lease_refinement	claimed_lease_has_one_strictly_new_generation;stale_lease_cannot_finish	stale_or_inactive_lease_outcome_is_rejected;lease_outcome_decision_rejects_stale_or_inactive;lease_generation_is_strictly_monotone;active_counter_transition_preserves_classification;attempt_is_strictly_monotone;audit_sequence_is_strictly_monotone;only_current_refresh_owner_can_finish;refresh_generation_is_strictly_monotone;counter_delta_matches_classification	lease_cases	canister/bridge-core/src/kernel.rs#lease_outcome_decision	canister/bridge-canister/src/storage/mod.rs#lease_renewal_uses_real_update_time_and_stale_generation_cannot_finish	sqlite_atomicity;async_callback_identity;runtime_toolchain	proved	proved	proved	executable-proved	refinement-tested	assumed	phase4	complete
